squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price_in_thousands
14142,21,0,0,13,89808,7,3,2021,0,1,9113,6333,287,1,0,1415.82
96309,1,1,1,25,82647,2,6,2011,1,1,6790,7408,164,1,0,9638.09
59109,45,0,1,21,97310,6,5,1993,0,0,2002,5507,407,0,0,5914.62
76420,38,1,0,63,32005,5,8,2006,0,1,3164,6820,170,1,5,7649.93
11657,88,0,1,21,81560,1,5,2012,1,0,4859,4985,999,0,0,1170.59
24859,14,1,0,60,76623,3,4,2013,0,0,4836,7831,311,1,5,2492.27
38392,75,0,0,41,61255,6,3,1999,1,1,384,62,307,0,4,3840.84
66612,83,0,1,9,15197,10,8,2002,1,1,8084,9278,847,1,7,6664.92
17040,34,1,0,55,72842,9,1,2019,1,1,5811,7670,397,0,6,1709.34
54847,38,1,1,39,96819,4,4,2020,1,0,5929,2894,395,0,7,5493.08
21459,14,0,1,85,8301,1,6,2005,1,1,5520,7062,100,1,4,2156.84
59413,43,0,0,6,31513,7,4,1990,0,1,4602,4427,520,1,0,5942.12
34291,33,0,1,37,81990,6,5,1991,0,1,9105,9238,401,0,8,3434.5
26061,95,0,0,27,18445,1,3,1993,0,0,4049,6484,848,1,9,2608.43
28446,94,1,1,61,97470,7,4,2010,1,0,2439,8820,640,1,6,2852.65
39661,59,0,0,83,97719,1,9,2000,0,1,6114,6989,386,0,3,3974.1
76097,46,0,1,51,91317,5,3,2020,1,0,3337,7250,337,0,1,7616.0
17723,48,1,1,82,28332,2,2,2007,1,1,2154,471,631,0,5,1781.41
49588,36,0,0,75,8829,9,7,1998,1,1,9692,6974,301,0,9,4963.75
66592,21,1,0,92,6475,6,7,1996,0,0,484,5922,992,1,5,6666.93
21293,4,0,1,40,57682,2,5,2020,1,1,6717,6388,883,1,9,2138.17
21413,34,1,1,72,42530,8,6,2000,0,1,1799,2781,607,0,4,2154.72
84235,76,0,0,74,52582,2,9,2004,1,0,2634,5430,439,1,6,8431.03
52952,8,1,1,36,67728,7,6,2019,1,1,9731,4082,206,1,7,5303.3
67391,31,1,1,23,51903,4,10,1996,1,0,5136,5840,359,0,6,6749.77
2632,23,0,0,35,69077,3,8,1991,0,1,2238,8328,359,0,5,266.13
15542,19,0,0,27,48610,8,7,1996,0,0,563,6368,615,0,5,1556.82
6547,93,0,0,20,70033,2,7,2021,0,0,719,1178,884,1,7,657.0
38765,16,0,1,56,58119,5,2,2003,1,0,8594,8440,398,0,10,3882.49
95375,30,1,1,37,50519,9,1,1998,0,1,927,2844,534,1,9,9545.99
63871,13,1,0,91,27099,9,1,2005,0,0,6608,8973,752,0,10,6397.64
67761,81,1,1,5,71456,1,10,1997,0,0,9383,7649,569,1,2,6785.84
73136,77,1,0,88,95018,9,9,2006,1,1,1730,5017,967,0,4,7325.69
16842,29,1,0,49,20912,2,4,2007,1,1,4156,8647,458,1,1,1690.85
48926,17,0,1,52,25232,4,4,2010,0,0,8767,4956,766,0,4,4897.71
83088,22,0,0,64,39738,6,4,2004,0,1,2405,6251,457,1,7,8315.13
1344,64,0,0,56,35869,7,6,2020,0,0,3576,8147,404,1,6,140.1
39170,54,1,1,41,54522,7,10,2005,0,1,2427,8845,187,1,7,3926.22
49411,29,0,1,8,21931,10,3,2002,0,1,3249,3056,969,0,1,4944.41
43412,3,1,1,68,42196,1,5,2010,1,1,911,3354,936,1,3,4352.88
14345,37,1,1,99,42634,4,10,1997,1,1,1617,4224,857,1,9,1445.85
88548,96,1,1,3,4531,6,1,1992,0,0,5585,3891,365,0,5,8861.53
31995,54,1,0,1,97018,1,7,1998,1,1,1527,7321,497,1,0,3203.13
54245,57,0,1,15,58253,2,1,2001,1,1,658,9034,167,0,8,5426.77
75340,98,1,1,27,30600,3,5,2018,0,0,4266,6327,387,1,7,7545.01
75524,67,0,0,56,94840,9,5,2019,1,1,4755,9152,356,0,5,7556.59
41926,8,1,0,89,22338,3,9,2015,0,1,2806,5989,102,1,5,4198.28
70990,77,1,1,51,30861,10,5,2008,0,1,423,6307,688,1,7,7107.29
46988,66,1,1,27,4863,9,10,1991,1,1,8339,6331,874,1,4,4707.34
25897,98,1,0,92,20344,2,4,1993,0,1,9799,9569,116,1,10,2598.76
39631,19,0,0,16,20762,1,4,1991,1,1,8386,7561,534,1,10,3964.31
88554,37,1,0,26,96016,3,6,2000,0,1,1261,6205,850,0,10,8859.76
31239,99,0,0,77,3081,5,8,1992,1,0,6178,4301,208,1,6,3130.71
56701,27,1,1,36,27612,4,1,2009,0,0,7864,6314,706,0,4,5679.27
17012,2,0,0,6,34231,10,4,1999,0,0,8324,4354,189,0,8,1702.29
98799,55,1,0,42,15155,6,5,2020,1,0,5468,9365,712,1,0,9887.39
27924,68,1,1,81,7907,8,2,1991,1,1,2068,4052,183,0,9,2805.11
13254,91,1,0,58,98839,2,1,2014,0,0,1937,8763,506,1,9,1333.89
78180,26,1,1,46,50817,7,5,1995,0,0,4079,5605,152,0,6,7828.64
83698,44,1,0,13,94020,3,9,1999,0,0,600,4130,489,0,1,8376.08
66570,59,0,0,2,85412,7,10,2008,1,1,2628,7837,754,1,6,6657.98
61847,85,0,0,96,63056,8,9,2014,1,0,7804,9945,718,0,2,6190.11
80039,86,1,1,45,14020,4,6,1996,1,0,6447,4215,581,1,7,8009.22
13972,39,0,0,8,91674,2,2,2009,0,0,1477,3153,952,1,2,1397.75
8493,12,0,1,71,6909,3,1,1990,0,0,2561,3618,758,1,3,856.11
18221,27,1,0,94,4317,7,4,2004,1,0,746,1218,335,0,1,1831.31
77075,52,1,0,11,13884,10,10,2002,1,1,1768,9928,430,0,4,7713.86
96923,94,1,0,2,90110,4,3,2008,1,1,9683,7278,392,0,4,9694.42
22811,75,1,0,50,19684,2,4,2016,0,1,9974,4388,355,1,2,2285.5
47559,33,0,0,66,52507,6,1,2018,1,0,6654,5134,854,1,7,4762.74
77566,38,1,0,21,57816,6,6,2009,0,0,470,5118,244,1,7,7762.68
40705,74,1,1,52,9607,10,9,1991,0,0,9802,894,736,0,9,4080.57
93656,65,0,1,8,29038,1,3,2007,1,0,4173,2017,230,1,10,9369.72
2985,53,1,0,12,38448,4,2,2011,0,0,7032,564,943,0,1,301.14
68847,70,0,0,30,11553,1,6,2019,0,1,3592,7303,634,1,9,6888.09
29917,70,1,1,39,26297,5,9,2011,0,1,1566,278,480,0,5,2998.84
33692,83,1,1,69,88105,3,4,1999,1,0,9989,812,721,1,4,3375.52
76045,48,0,0,4,35808,10,7,2000,0,0,134,5662,925,0,7,7605.34
73196,19,0,1,48,16866,3,5,2011,0,0,7389,5683,114,1,2,7325.9
82377,72,0,1,66,86648,3,8,2004,0,1,7891,7931,931,1,1,8241.35
63342,21,1,1,86,91993,4,2,1997,1,0,2111,3502,877,1,8,6349.7
39109,24,1,0,67,74477,4,3,2002,1,0,1642,2925,139,0,9,3917.65
80671,65,0,0,6,37066,7,10,2021,1,1,2660,1222,393,0,5,8068.6
36705,38,0,1,23,94515,5,2,2010,0,1,2585,6833,450,1,3,3676.74
35216,26,0,1,67,13155,4,2,2013,0,0,4620,2337,282,1,10,3528.67
46695,77,1,1,78,59440,9,8,1997,0,0,2840,3484,194,1,10,4680.91
52680,10,0,1,79,10177,6,4,1991,0,1,5687,2005,242,0,0,5274.7
44565,78,1,0,40,34919,2,8,2005,0,1,8312,1745,685,1,10,4463.08
52915,63,1,0,97,85596,3,9,1996,1,0,544,9576,480,0,8,5302.29
70494,69,1,1,98,30556,3,3,2005,0,0,5652,6478,160,0,9,7059.38
56223,42,1,1,31,75941,6,5,2016,0,1,4779,5755,689,0,10,5629.3
79380,51,0,1,50,64269,5,9,2004,0,1,9140,6886,280,1,3,7943.68
86619,23,1,1,2,22657,1,9,2018,1,1,2160,5810,877,0,7,8670.75
43788,50,1,1,82,51550,2,1,2011,0,1,885,2918,601,1,10,4391.54
88036,30,0,0,16,5201,1,3,2017,1,0,2328,6702,947,0,0,8804.24
40101,82,1,1,68,81262,1,4,2009,1,1,1153,5161,794,0,5,4023.28
13603,61,1,1,66,86297,7,6,2014,1,0,2994,7147,767,1,8,1372.33
65001,18,1,0,37,72546,8,6,2013,1,0,4731,2386,792,0,8,6504.38
3155,53,1,1,16,3192,1,7,2015,0,1,9865,2992,150,1,10,323.59
44561,8,0,0,72,89056,5,6,2002,1,1,1783,9281,774,1,5,4460.77
10359,90,1,1,3,69467,7,5,1990,0,1,9457,9123,969,0,2,1041.65
23177,19,0,0,52,69373,4,1,2003,0,0,2706,4593,648,1,6,2318.78
36945,35,0,0,31,52908,5,3,2006,1,1,8900,9299,192,1,4,3696.75
59288,44,0,1,8,46030,1,4,2021,1,0,4412,3771,219,0,9,5934.46
60450,94,1,0,16,35385,8,3,2018,0,1,406,7381,757,1,10,6049.18
61995,31,1,0,98,40992,6,6,2013,1,0,7239,4834,867,0,4,6208.53
85202,24,1,1,40,88240,9,5,2011,1,1,2236,6304,884,1,8,8530.63
60396,100,1,1,81,92255,7,9,2012,1,1,5943,7937,950,1,1,6047.86
93290,54,1,1,60,90350,2,4,2001,0,1,3029,8805,613,0,6,9335.72
30442,48,0,0,60,94016,3,9,2008,1,0,5953,4550,627,0,7,3049.37
15148,81,0,0,11,14485,5,3,1997,0,1,9433,965,847,0,8,1515.88
98131,58,0,1,97,22812,7,2,2012,1,0,8286,6208,819,1,1,9822.01
97831,19,0,1,75,73394,4,9,2004,0,1,1728,5426,613,1,3,9790.03
26883,68,1,0,20,42653,3,2,1994,0,1,3583,3508,620,0,7,2694.15
91156,20,0,1,47,10616,3,5,2009,0,1,9405,4215,842,0,3,9120.68
87156,49,1,0,44,94383,9,2,2019,0,1,5224,968,798,0,9,8722.47
42903,96,1,1,28,20793,4,4,1991,1,1,3336,4380,562,1,3,4297.35
40095,14,0,1,41,1970,5,9,2015,0,0,8160,5969,924,0,7,4016.27
80722,21,0,0,25,28651,10,6,2019,1,0,5746,9407,858,0,1,8075.4
45979,46,0,1,2,78140,10,5,2004,0,1,7620,4487,571,0,6,4600.37
74079,67,0,1,28,64669,1,4,2002,1,1,695,5687,853,0,4,7412.55
52866,23,0,1,40,10132,8,8,2004,0,1,933,8316,384,0,4,5293.84
24055,32,0,1,81,18804,5,6,2018,1,1,5640,7433,818,0,6,2418.31
19796,4,1,0,30,59167,6,2,2005,1,0,9160,9986,745,1,6,1984.46
83120,8,0,0,7,63476,4,1,2005,0,0,2074,9939,121,1,9,8313.03
75354,2,0,1,61,29515,3,2,2019,0,1,6062,8157,495,0,8,7546.08
91482,86,1,0,32,90465,6,2,2003,1,0,8903,4388,649,0,6,9153.6
66628,85,1,0,70,89998,10,5,1997,0,0,1180,8686,723,1,1,6668.71
86677,87,1,1,64,82489,9,3,2017,0,0,1073,9743,694,0,6,8675.64
18653,21,1,1,40,43885,10,4,2020,0,0,4746,4175,319,1,9,1871.96
15262,49,0,1,72,20893,2,7,2005,0,1,6000,293,884,0,1,1531.24
20587,32,1,0,71,98056,5,5,2004,1,1,8473,7031,638,0,8,2067.4
11471,17,0,0,100,64766,9,4,1993,1,0,469,5098,112,1,3,1152.85
32604,51,1,0,38,85386,1,5,2009,0,1,2030,6606,135,0,2,3263.79
79768,39,1,0,48,93255,10,3,1999,1,0,1421,7075,929,0,9,7984.47
50118,80,1,0,76,39767,3,1,1998,0,1,7483,8194,687,0,0,5016.63
77724,78,0,0,79,83477,3,2,1995,0,0,8324,6918,982,1,10,7779.39
1932,51,1,1,36,52283,1,1,2000,1,0,4334,8090,195,1,8,201.54
89940,55,0,0,52,87608,10,5,2017,1,1,7822,2642,812,1,4,8995.62
86019,21,0,0,91,68445,9,9,2014,1,0,4019,1854,829,1,9,8611.76
88935,8,1,0,93,36360,1,2,1990,0,1,8530,8210,913,1,0,8901.93
90304,95,1,1,78,5508,6,5,1990,0,0,4093,6738,807,0,5,9044.78
92722,79,1,0,73,83194,4,3,2019,0,1,38,1444,550,0,3,9283.89
71997,75,1,1,44,67609,8,10,2014,1,0,4305,3492,662,1,6,7207.72
89674,6,0,0,5,56815,6,2,2012,1,1,5673,3242,604,0,4,8968.37
10798,27,1,0,59,38651,2,9,1993,0,0,5879,3505,850,0,6,1086.27
18014,85,1,1,67,86547,2,5,2015,0,0,9508,7725,872,1,3,1810.35
38003,98,1,0,6,49191,8,10,2008,0,0,9981,6500,129,0,2,3803.55
60555,100,1,1,17,87291,10,5,2016,1,0,2639,139,506,0,10,6065.22
24313,46,1,0,53,79612,5,8,2003,1,0,1365,1075,437,1,10,2438.14
25210,98,1,0,34,69052,8,1,1994,1,0,5454,1034,147,0,6,2525.78
10437,56,0,1,23,39718,4,10,1999,1,1,4018,3432,193,1,2,1050.18
62599,8,0,1,37,9244,9,10,2012,0,1,428,2077,909,1,0,6268.81
48270,60,1,1,85,81900,6,10,2010,0,0,6828,3382,935,0,6,4838.35
17466,80,0,0,51,40049,9,6,2005,0,0,6862,4415,444,0,1,1751.13
32769,11,0,1,34,76030,10,5,2011,0,0,9745,7391,866,0,9,3283.21
56025,68,1,0,86,29367,4,8,2017,0,0,3731,7937,857,0,8,5608.3
85154,10,1,0,33,69408,10,6,1994,0,1,9887,8254,740,1,5,8518.7
25263,53,1,1,51,31799,5,2,2004,1,1,9834,1817,183,0,0,2532.25
683,91,1,1,31,75419,10,3,2009,0,1,6528,2986,172,0,10,76.43
28825,79,0,0,35,44193,3,4,1991,0,1,9767,3333,144,1,2,2886.3
39682,100,0,0,42,89345,10,5,1990,1,0,4152,6822,878,0,5,3971.37
96037,58,1,0,4,16053,6,4,1993,0,0,2963,957,341,0,0,9606.57
92201,56,0,1,66,69735,3,5,2003,0,1,3385,5903,159,0,10,9228.74
72114,51,1,0,32,15113,9,5,1990,1,0,9165,7506,176,0,4,7215.8
2943,1,1,1,29,27296,9,2,2005,0,1,4470,8588,851,1,9,302.52
47579,85,1,0,8,8403,3,8,2013,1,1,1138,805,629,0,5,4761.3
39269,87,0,1,16,54877,8,1,1997,0,0,6604,7051,800,0,8,3930.29
98678,95,1,1,3,75381,5,6,2003,0,1,6810,1391,556,1,3,9873.51
93190,51,0,0,44,67570,5,5,1998,1,0,4817,7651,998,0,7,9322.07
96593,95,1,0,79,58402,10,7,2009,1,0,222,645,761,1,7,9665.7
25224,8,0,1,48,15830,3,10,1996,0,0,2106,5726,759,0,8,2529.74
74383,58,0,0,14,20734,7,5,1992,1,1,6646,9713,984,0,6,7439.94
47824,52,0,0,12,39180,5,7,1993,0,1,9562,3717,793,1,3,4784.2
29319,62,1,0,47,47216,5,3,2001,0,1,5846,4451,407,1,7,2939.58
99952,41,1,0,69,51336,10,7,2000,0,1,1285,7588,192,1,9,9998.41
10370,59,1,1,2,19103,1,4,2005,1,1,3456,2977,380,0,2,1045.71
21054,56,0,1,46,73635,9,5,2012,1,0,1348,5131,142,1,3,2111.06
90417,13,0,0,88,2994,5,2,1996,0,0,301,6134,771,0,0,9043.73
63062,60,0,0,37,73988,10,8,2003,0,1,3391,5307,948,0,2,6307.91
26090,6,1,0,78,81880,9,1,1995,1,0,206,9611,910,0,9,2613.9
60256,60,1,0,68,57262,9,3,2016,0,1,5123,1273,569,1,10,6033.84
63941,22,0,0,12,56147,10,5,1994,1,1,9722,7407,340,1,4,6396.12
11914,36,1,0,57,95044,8,6,2005,0,1,6274,1131,897,0,10,1198.18
91419,55,1,0,1,47472,8,9,2012,1,1,3394,6556,115,0,2,9147.14
83934,54,1,1,31,10839,10,3,2001,0,0,555,3766,999,0,8,8400.36
79576,78,0,0,24,91759,2,6,2011,0,0,3003,5956,895,0,7,7958.98
42208,26,1,0,11,90051,1,4,2003,0,1,9849,9363,806,1,5,4224.39
3893,30,0,1,89,91809,8,9,1996,1,1,8765,9222,848,1,10,399.89
88174,23,0,1,84,87584,6,1,1994,0,0,7601,137,380,1,0,8824.74
21558,89,0,0,3,54670,3,10,1994,0,1,4900,2763,159,1,5,2156.4
88780,51,1,1,89,803,7,1,2016,0,0,4778,6238,275,0,0,8887.35
14610,91,1,1,62,95536,9,10,1999,0,1,8805,3156,726,1,6,1469.3
23684,95,0,0,76,41456,5,10,2013,0,1,6588,9147,931,0,8,2370.88
13079,78,0,1,11,73189,9,5,2011,0,1,4724,319,271,0,1,1312.45
66442,81,0,1,52,5343,6,7,2015,0,0,8747,1268,884,0,1,6650.6
81063,98,0,1,60,35456,8,6,2008,1,0,4818,9221,465,0,10,8113.87
5802,99,0,0,61,3565,6,1,2010,1,1,542,9793,465,1,9,583.66
41147,69,0,1,87,38738,4,1,2006,1,0,7388,3537,791,1,4,4122.97
70226,30,0,1,77,27962,9,3,2008,1,1,8583,3849,790,0,9,7032.3
79499,39,1,1,79,2267,3,7,2013,1,0,5217,2016,198,0,4,7955.95
65896,44,1,1,40,69039,7,2,1994,0,1,202,6398,792,0,2,6601.45
42230,5,0,1,16,30746,7,10,2019,0,0,9505,9183,466,1,8,4228.54
15728,76,1,0,12,40059,9,8,2017,1,0,3436,384,253,0,5,1577.52
80237,88,0,0,35,32911,7,8,2006,1,1,6209,8195,134,1,6,8025.95
92696,49,1,0,38,74381,9,2,2021,0,0,1559,5111,957,1,2,9272.74
69055,75,1,0,52,48006,4,3,1998,0,0,3397,1791,212,1,6,6913.69
79604,30,0,1,4,23402,2,3,2016,1,1,9575,2906,909,0,2,7965.56
46119,14,0,1,68,82308,8,1,1998,0,1,9174,3376,742,1,8,4619.76
17966,77,0,1,18,12386,7,2,1999,1,0,8922,6615,874,0,6,1799.69
94789,23,0,1,3,31768,9,9,1992,1,1,4633,7185,895,1,8,9484.02
65549,38,0,0,38,35657,5,4,2015,1,1,5487,1726,316,1,10,6556.74
20365,93,0,0,62,28170,5,1,2011,1,0,8154,7439,534,0,0,2041.74
9196,17,0,1,11,28426,5,9,2010,1,1,5450,4963,661,0,9,926.11
41667,46,0,1,32,30699,8,8,1996,1,1,1772,9446,520,0,1,4174.03
889,53,1,0,30,3406,1,7,1999,1,1,2656,236,847,1,10,92.86
87245,35,1,0,37,88555,1,8,1997,0,1,2924,9744,942,0,2,8729.43
10484,38,0,0,43,170,7,10,2016,1,1,3872,1255,799,1,7,1051.97
55275,2,1,0,10,78342,9,2,1992,0,1,6676,8568,194,0,10,5531.34
50109,4,1,1,27,34622,5,1,2018,1,0,478,2348,690,0,4,5019.83
5390,52,1,1,54,21092,3,7,2020,0,0,8171,1111,525,0,6,547.07
40077,85,1,0,90,51219,7,6,2011,1,1,2350,5903,935,0,5,4020.05
85955,72,0,0,56,69575,3,1,2015,0,1,4303,2197,408,1,2,8601.6
44802,52,0,1,4,13692,9,2,2009,0,1,7002,7560,313,0,4,4484.09
68083,32,0,0,75,41276,8,9,2005,0,0,8851,7008,936,1,2,6813.18
94122,92,0,0,77,45430,10,4,2009,1,1,6278,4484,154,1,5,9414.69
69893,70,0,0,65,20478,10,3,2017,1,1,4797,1882,281,1,9,6991.12
19728,97,1,0,85,49642,2,8,2018,0,1,4778,5706,289,1,2,1977.83
148,91,0,0,11,27008,6,9,1992,1,1,6618,7045,939,1,10,16.8
64180,36,1,1,100,46756,6,6,2002,0,1,1986,770,321,1,4,6425.56
65982,64,1,1,56,59946,1,4,2012,1,0,5085,9728,796,0,6,6607.36
44718,63,0,0,67,83552,3,2,2008,0,1,2915,6977,113,1,2,4478.51
43283,59,0,1,43,40618,9,8,2002,1,0,6595,3881,642,1,10,4336.07
30925,18,1,1,83,91239,7,4,2016,1,1,747,8698,218,0,3,3104.28
53547,77,0,0,35,50880,8,4,2002,0,0,7979,490,323,0,2,5355.93
85489,90,1,0,42,42842,2,1,1999,1,1,6755,7170,320,0,1,8555.34
3864,11,1,1,80,21772,6,7,1995,0,0,2453,8700,358,1,8,394.54
55984,92,0,1,51,35375,6,3,1999,0,1,4997,5660,213,0,5,5604.99
90947,75,1,0,8,48980,8,3,2020,0,0,6379,653,595,1,10,9098.97
47671,64,1,1,78,42268,7,1,2015,0,0,5479,5662,765,0,8,4773.68
61073,90,1,0,77,59566,7,3,1991,1,1,3484,5343,319,1,2,6110.68
90122,35,0,1,89,85240,10,8,1994,0,0,7094,7305,265,0,3,9017.99
13087,55,0,0,12,91327,6,8,1997,1,0,5984,143,437,1,2,1310.46
30317,33,0,1,78,69973,5,1,2019,1,0,4786,8307,212,1,5,3035.23
68723,83,0,0,8,99262,3,6,2005,1,1,9723,731,564,0,6,6873.85
27279,37,1,1,57,8594,7,3,2003,1,1,1731,3408,215,1,4,2739.5
62691,16,1,0,77,70717,6,7,2016,1,1,3831,9632,241,0,8,6276.49
24979,45,1,1,62,28179,9,5,2011,1,0,5980,7316,502,1,2,2508.81
60401,63,0,0,86,63764,6,4,1997,1,1,3200,6710,430,1,10,6047.11
6012,53,1,0,38,96011,8,7,2013,1,0,392,2928,423,0,4,607.32
17357,42,0,0,20,39233,6,5,1998,1,0,5688,9409,221,0,4,1738.08
39756,22,0,1,23,35568,8,4,2019,1,0,7195,8567,564,0,8,3980.01
6389,11,0,1,100,66599,2,7,1991,0,1,9768,1733,479,0,4,645.86
77744,34,0,0,85,69381,10,7,1990,0,1,3190,9835,379,0,6,7781.08
49322,8,0,0,97,65885,4,3,2017,1,0,3508,2918,600,0,2,4940.66
25495,57,0,1,7,58020,4,5,2011,1,1,2128,5982,547,1,6,2553.09
72859,97,0,0,52,73233,5,2,2001,1,1,8563,230,835,0,8,7289.71
69178,15,1,1,1,39748,8,4,1995,1,0,5550,7971,621,0,8,6921.35
75927,100,1,1,38,55528,5,3,2001,1,0,4681,1453,472,1,7,7599.36
21258,38,1,1,30,96015,3,6,1991,0,0,3175,6608,298,0,9,2131.17
49358,15,1,1,49,42812,9,10,2020,1,0,6110,1203,319,0,3,4943.11
1607,10,1,0,46,50693,3,6,2004,0,0,8175,3264,923,1,9,167.25
64514,85,1,1,7,88305,7,3,2018,1,0,4548,2833,446,0,8,6458.93
37424,33,1,0,62,18474,2,7,2000,1,1,185,5854,885,0,10,3750.23
8369,69,0,1,67,21714,10,1,2012,0,1,6047,8033,117,1,9,846.95
59437,75,1,1,60,57505,2,10,2014,1,1,1716,534,455,1,9,5952.62
65900,36,1,1,99,27819,1,5,2017,0,1,2637,1038,452,0,1,6605.89
55840,89,0,1,11,56766,4,6,1995,0,0,9314,3519,912,0,2,5588.69
80309,44,0,1,50,40668,2,9,2011,0,0,6134,7254,847,1,8,8039.28
65482,66,1,1,21,30063,5,6,1996,1,1,134,1222,171,0,6,6556.07
634,64,0,1,10,40942,4,6,1990,1,1,5713,4559,588,1,3,66.14
28597,93,0,0,47,16237,3,9,1990,0,0,4492,270,714,0,8,2863.39
90842,60,1,1,25,25975,3,6,1995,0,0,3501,8720,152,0,5,9092.17
41681,12,1,1,85,68280,1,1,2021,0,0,7883,8257,663,0,10,4173.05
93650,7,1,1,83,35653,4,3,2005,0,0,9158,372,780,1,7,9375.98
22232,24,0,1,52,20211,5,9,2005,1,1,135,1819,882,1,8,2230.27
61361,13,0,0,39,95025,9,2,1992,0,1,5144,4079,703,0,5,6138.78
60249,80,1,1,48,90909,7,1,1994,1,0,8112,9032,175,0,1,6034.59
13814,46,1,0,97,48615,5,2,2007,0,0,4772,2443,598,0,9,1388.63
96151,75,1,1,100,77044,4,3,1993,0,0,481,9967,224,0,0,9629.19
31492,64,0,0,28,57281,4,5,2020,0,0,2546,1902,475,0,4,3149.91
66283,39,0,1,95,81648,3,2,2008,0,1,9947,5544,280,0,5,6640.11
46445,85,1,1,22,82904,5,5,2011,0,0,5873,2599,772,0,6,4648.83
70210,48,1,0,56,31261,9,9,2021,1,0,8937,8411,345,0,1,7025.13
68772,98,0,1,98,45826,9,5,2018,1,1,1631,982,821,0,9,6885.11
53857,91,1,0,49,77898,9,9,1993,0,0,3249,6461,435,1,0,5393.35
34220,50,1,1,33,30858,3,3,1996,1,1,5942,6266,976,1,1,3430.76
1863,61,1,1,81,40624,3,10,2000,1,1,7113,8,298,0,1,197.01
11192,18,1,1,100,80973,8,10,2005,0,0,7138,2283,824,1,9,1129.88
83512,8,1,1,45,49353,10,6,2005,0,1,6862,414,225,0,8,8358.21
72570,98,0,0,97,33740,5,5,2014,1,1,9856,5766,874,0,8,7260.08
3479,15,0,0,21,10072,9,6,2016,1,0,6261,5616,484,1,2,349.19
16806,10,1,0,19,32348,5,6,1998,0,1,5645,2749,997,0,0,1686.88
77339,85,1,0,33,73371,1,6,1996,0,1,1266,8952,139,0,6,7736.92
43108,91,1,1,48,32676,6,3,1996,1,1,1750,2078,294,1,3,4317.95
54919,13,1,0,15,61049,7,3,1996,1,0,4870,2998,647,1,0,5497.88
13309,20,1,0,73,56261,6,8,2004,1,0,1620,7675,843,0,5,1337.54
41371,14,0,0,64,14407,5,1,2013,0,0,605,2442,458,1,1,4139.66
22875,86,1,0,95,8661,5,7,1994,0,0,6394,2119,542,0,7,2295.51
